"","year","setting","mean","median","L95CI","U95CI","combined"
"1",2013,"commercial",87.0250683365537,77.716059179167,51.4419936832636,171.623057505434,"77.72 [51.44, 171.62]"
"2",2013,"education",84.303559932349,81.9193244258796,62.7409455321451,116.697267636412,"81.92 [62.74, 116.7]"
"3",2013,"factory/workplace",147.924930845281,143.775945048072,96.6794836192561,216.062466881975,"143.78 [96.68, 216.06]"
"4",2013,"hospital/clinic/care centre",182.624809869673,171.446244934388,108.286448262835,360.57023064202,"171.45 [108.29, 360.57]"
"5",2013,"other",149.748894533629,148.033799657977,107.543981975167,208.82907660008,"148.03 [107.54, 208.83]"
"6",2013,"total",92.7315203284656,92.4847501350389,74.4667528506816,115.149374910401,"92.48 [74.47, 115.15]"
"7",2014,"commercial",204.438420094123,207.739799038464,96.2089293735394,312.150672741297,"207.74 [96.21, 312.15]"
"8",2014,"education",67.1091775645356,64.3539734708709,45.4373708887516,100.482011256052,"64.35 [45.44, 100.48]"
"9",2014,"factory/workplace",137.929036748524,130.528101307112,95.4063205399483,220.91562549234,"130.53 [95.41, 220.92]"
"10",2014,"hospital/clinic/care centre",238.846366934332,227.181950020316,138.068778688733,376.261605658621,"227.18 [138.07, 376.26]"
"11",2014,"other",125.662129001765,122.527703555016,90.6154917594141,186.125873105973,"122.53 [90.62, 186.13]"
"12",2014,"total",83.0623761924848,80.811166653153,60.9657368367637,108.051350442201,"80.81 [60.97, 108.05]"
"13",2015,"commercial",152.455557026796,148.361502613886,85.3370120377399,272.6043342981,"148.36 [85.34, 272.6]"
"14",2015,"education",Inf,64.0202132647636,16.8587270369363,Inf,"64.02 [16.86, Inf]"
"15",2015,"factory/workplace",Inf,104.233418994989,62.4228579087433,259.60509677724,"104.23 [62.42, 259.61]"
"16",2015,"hospital/clinic/care centre",154.250378577797,145.32262647066,102.801989960256,231.903642313746,"145.32 [102.8, 231.9]"
"17",2015,"other",134.498828530287,102.243296581211,40.3010030252219,297.808431395027,"102.24 [40.3, 297.81]"
"18",2015,"total",97.8423888153409,68.01791497556,30.6173183535864,330.850695043041,"68.02 [30.62, 330.85]"
"19",2016,"commercial",144.759727991662,140.367664026184,108.447695029894,197.180923322852,"140.37 [108.45, 197.18]"
"20",2016,"education",88.5503497436278,85.3521497770327,60.5221852636647,127.324766331144,"85.35 [60.52, 127.32]"
"21",2016,"factory/workplace",119.54444218167,109.910715282976,72.3509811269432,189.401163468039,"109.91 [72.35, 189.4]"
"22",2016,"hospital/clinic/care centre",90.0329960079737,78.4086819969976,44.5735055986902,219.916124518653,"78.41 [44.57, 219.92]"
"23",2016,"other",67.7698284820695,65.8936696357376,32.8438864007007,109.868485457843,"65.89 [32.84, 109.87]"
"24",2016,"total",87.8190280806456,87.0005317701773,65.1542816021645,114.524150374016,"87 [65.15, 114.52]"
"25",2017,"commercial",420.332342774471,388.131255412933,263.03773711011,830.355927488429,"388.13 [263.04, 830.36]"
"26",2017,"education",56.1746284573975,54.8158277463337,42.3838608496972,71.1183953918055,"54.82 [42.38, 71.12]"
"27",2017,"factory/workplace",59.0471044920282,48.8785609106284,24.6842291582829,118.674636893624,"48.88 [24.68, 118.67]"
"28",2017,"hospital/clinic/care centre",83.1724363540365,80.8882873456266,53.8043612206208,136.88601598559,"80.89 [53.8, 136.89]"
"29",2017,"other",56.1145861790943,52.7917666418387,32.5898873420711,85.4234798048944,"52.79 [32.59, 85.42]"
"30",2017,"total",58.6357790387013,57.0748032250026,44.78056985686,77.2211704439565,"57.07 [44.78, 77.22]"
"31",2018,"commercial",97.7804285447907,88.6801972204488,65.8791038019463,144.654288611978,"88.68 [65.88, 144.65]"
"32",2018,"education",Inf,64.9617485622715,34.1574459402727,285.315489228896,"64.96 [34.16, 285.32]"
"33",2018,"factory/workplace",151.831870153768,144.789391824093,99.5031586900543,230.59732819736,"144.79 [99.5, 230.6]"
"34",2018,"hospital/clinic/care centre",103.829014050749,98.6066369404181,54.664764382866,178.200960488635,"98.61 [54.66, 178.2]"
"35",2018,"other",69.5542500010678,63.8838436767405,29.9353069547076,203.602913682936,"63.88 [29.94, 203.6]"
"36",2018,"total",83.9509940288382,77.8527612520246,56.1278521818939,148.984531264369,"77.85 [56.13, 148.98]"
